RouteID,Route,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105717328,Generic Crack,2024-03-30,Trad,0,5.10-,G,3.4,1,Onsight/Flash,1
105717346,Binou's Crack,2024-03-30,Trad,0,5.8+,G,2.7,1,Onsight/Flash,1
105717364,Supercrack of the Desert (aka Luxury Liner),2024-03-30,Trad,0,5.10,G,3.8,3,Onsight/Flash,1
105717484,Scarface,2019-02-26,Trad,0,5.11a/b,G,3.8,1,Redpoint,2
105717763,Trading Places,2024-04-04,Trad,0,5.10,G,2.7,1,Fell/Hung,1
105717766,3AM Crack,2024-03-30,Trad,0,5.10,G,3.5,1,Fell/Hung,1
105717892,Namaste,2024-05-19,Sport,0,5.11d,G,3.9,1,Onsight/Flash,1
105717895,1/2 Route,2024-05-19,Sport,0,5.10+,G,3.7,1,Onsight/Flash,1
105717922,Wavy Gravy,2019-02-26,Trad,0,5.10,G,3.2,1,Onsight/Flash,1
105718036,Black Uhuru,2024-04-04,Trad,0,5.10+,G,3.7,1,Onsight/Flash,1
105718084,Old Bushmills,2024-04-17,Trad,0,5.10+,G,3.3,1,Fell/Hung,1
105718117,Huecos Rancheros,2024-05-19,Sport,0,5.12b,G,3.9,1,Fell/Hung,1
105718192,Tom Cat,2019-02-25,Trad,0,5.10,G,3.3,1,Fell/Hung,1
105718198,Apostasy,2024-05-18,Sport,0,5.10b,G,2.1,1,Fell/Hung,1
105718201,Dirtbag,2024-05-17,Sport,0,5.10-,G,2.4,1,Onsight/Flash,1
105718207,Second Coming,2024-05-17,Sport,0,5.12a,G,3.4,1,Redpoint,2
105718384,Taco Terror,2024-04-17,Trad,0,5.11,G,3.9,1,Fell/Hung,1
105718435,Blue Sun,2024-04-01,Trad,0,5.10-,G,3.6,1,Onsight/Flash,1
105718441,Rochambeau,2024-04-01,Trad,0,5.9,G,2.6,1,Onsight/Flash,1
105718522,Anchors From Hell,2024-04-17,Trad,0,5.10+,G,3.3,1,Onsight/Flash,1
105718642,Way Rambo,2024-04-01,Trad,0,5.12-,G,3.8,1,Fell/Hung,1
105732374,Yaak Crack,2024-06-01,Sport,0,5.11c,G,3.6,1,Onsight/Flash,1
105732443,Levitation 29,2017-03-23,Trad,0,5.11b/c,G,3.8,5,Fell/Hung,1
105732560,Gelatin Pooch,2024-06-01,Sport,0,5.10a,G,2.2,1,Onsight/Flash,1
105732563,"Pump First, Pay Later",2024-06-01,Sport,0,5.10b,G,2.0,1,Onsight/Flash,1
105732629,Viagra Falls,2024-05-26,Sport,0,5.11d,G,2.6,1,Onsight/Flash,1
105732941,Panty Raid,2024-05-26,Trad,0,5.10a,G,3.3,1,Onsight/Flash,1
105740945,Delay of Game,2024-10-11,Sport,0,5.8,G,2.8,1,Onsight/Flash,1
105740978,Just Say No,2022-07-25,Sport,0,5.9,PG13,2.6,1,Onsight/Flash,1
105740981,Rye Crisp,2022-07-25,Trad,0,5.8,G,3.7,1,Onsight/Flash,1
105740984,Private Idaho,2022-07-26,Trad,0,5.9,G,3.1,1,Onsight/Flash,1
105741116,Groundwork,2024-04-24,Sport,0,5.11c,G,3.3,1,Onsight/Flash,1
105741602,Tribal Boundaries,2024-10-12,Sport,0,5.10b,G,3.7,1,Onsight/Flash,1
105741848,Rollercoaster,2022-07-26,Sport,0,5.8,G,2.8,1,Onsight/Flash,1
