Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-12-23,Unknown,5.10c/d,,https://www.mountainproject.com/route/108695777/unknown,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Free Form Wall",2.7,2,Lead,Onsight,Sport,,70,3400
2024-12-23,Cyborg,5.11b,,https://www.mountainproject.com/route/105749980/cyborg,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Free Form Wall",2.5,2,Lead,Onsight,Sport,,,4900
2024-12-23,"Lucky Lettuce",5.9,,https://www.mountainproject.com/route/126571538/lucky-lettuce,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Free Form Wall",2.3,2,Lead,Onsight,Sport,,60,2400
2024-12-23,"Scary Carrie",5.10a/b,,https://www.mountainproject.com/route/112557064/scary-carrie,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",2.8,2,Lead,Onsight,Sport,,75,2800
2024-12-23,"The Apple Bites Back",5.11c,,https://www.mountainproject.com/route/105749119/the-apple-bites-back,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.5,3,Lead,Onsight,Sport,,,5200
2024-12-23,Renaissance,5.11a,,https://www.mountainproject.com/route/105812408/renaissance,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",2.5,2,Lead,Onsight,Sport,,80,4600
2024-12-23,"River of Rabbits",5.11a/b,,https://www.mountainproject.com/route/105761895/river-of-rabbits,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",2.5,2,Lead,Onsight,Sport,,60,4800
2024-12-22,"Spike aka BR 1",5.9,,https://www.mountainproject.com/route/107153195/spike-aka-br-1,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",2.0,2,Lead,Onsight,Sport,,,2400
2024-12-22,"Concrete Jungle",5.10a/b,,https://www.mountainproject.com/route/120255673/concrete-jungle,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",2.7,2,Lead,Onsight,Sport,,50,2800
2024-12-22,"Spinney Dan",5.10c,,https://www.mountainproject.com/route/105748702/spinney-dan,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.3,3,Lead,Onsight,Sport,,,3200
2024-12-22,Metropolis,5.11d,,https://www.mountainproject.com/route/105752887/metropolis,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.4,3,Lead,Onsight,Sport,,,5500
2024-12-22,"Cactus Drop",5.10d,,https://www.mountainproject.com/route/105761046/cactus-drop,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.1,3,Lead,Onsight,Sport,,70,3500
2024-12-22,Regroovable,5.11b,,https://www.mountainproject.com/route/105748690/regroovable,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.5,3,Lead,Onsight,Sport,,,4900
2024-12-01,"Pick a Peck of Perfect Pulling Pockets",5.11d,,https://www.mountainproject.com/route/105753541/pick-a-peck-of-perfect-pulling-pockets,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > A. Cactus Cliff Far Left (left of Muscle Beach)",2.9,3,Lead,Redpoint,"Sport, TR",,40,5500
2024-12-01,"Tits Up",5.12b,,https://www.mountainproject.com/route/105752335/tits-up,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > B. Cactus Cliff Left (Muscle Beach & right)",3.8,-1,Lead,Fell/Hung,Sport,,80,6900
2024-12-01,"Kalahari Sidewinder",5.8,,https://www.mountainproject.com/route/105758988/kalahari-sidewinder,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > B. Cactus Cliff Left (Muscle Beach & right)",1.7,2,Lead,,Sport,,40,2100
2024-11-30,"The Alignment",5.10c/d,,https://www.mountainproject.com/route/105759021/the-alignment,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > A. Cactus Cliff Far Left (left of Muscle Beach)",2.6,2,Lead,Fell/Hung,Sport,,60,3400
2024-11-30,"Pick a Peck of Perfect Pulling Pockets",5.11d,,https://www.mountainproject.com/route/105753541/pick-a-peck-of-perfect-pulling-pockets,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > A. Cactus Cliff Far Left (left of Muscle Beach)",2.9,3,Lead,Fell/Hung,"Sport, TR",,40,5500
2024-11-30,"Leisure Class",5.11b/c,,https://www.mountainproject.com/route/105754108/leisure-class,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > A. Cactus Cliff Far Left (left of Muscle Beach)",3.0,3,Lead,Onsight,Sport,,80,5100
2024-11-30,"Three-Quarter Ton",5.10b/c,,https://www.mountainproject.com/route/105809702/three-quarter-ton,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > A. Cactus Cliff Far Left (left of Muscle Beach)",3.1,3,Lead,,Sport,,80,3100
2024-11-30,Fantasia,5.11c,,https://www.mountainproject.com/route/105753880/fantasia,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > A. Cactus Cliff Far Left (left of Muscle Beach)",3.1,3,Lead,Onsight,Sport,,80,5200
2024-11-30,"Chip Off the Block",5.9,,https://www.mountainproject.com/route/105761877/chip-off-the-block,1,"Colorado > Canon City > Shelf Road > The Vault",2.7,2,Lead,Onsight,Sport,,55,2400
2024-11-29,"Stone of Ignorance",5.9+,,https://www.mountainproject.com/route/105759102/stone-of-ignorance,1,"Colorado > Canon City > Shelf Road > Spiney Ridge",2.1,-1,Lead,Onsight,Sport,,55,2500
2024-11-29,Cheers,5.8,,https://www.mountainproject.com/route/105759084/cheers,1,"Colorado > Canon City > Shelf Road > Spiney Ridge",2.4,2,Lead,Onsight,Sport,,70,2100
2024-11-29,"20th Century Man",5.10a/b,,https://www.mountainproject.com/route/105758676/20th-century-man,1,"Colorado > Canon City > Shelf Road > Spiney Ridge",2.7,2,Lead,Flash,Sport,,75,2800
2024-11-29,"Purple Toe Nails",5.11c,,https://www.mountainproject.com/route/105763212/purple-toe-nails,1,"Colorado > Canon City > Shelf Road > Spiney Ridge",3.6,3,Lead,Onsight,Sport,,80,5200
2024-11-29,"Toxxxic Entertainment",5.10a,,https://www.mountainproject.com/route/105759594/toxxxic-entertainment,1,"Colorado > Canon City > Shelf Road > Spiney Ridge",3.1,3,Lead,,Sport,5.10a,65,2600
2024-11-29,"Damn Right I've Got the Moves",5.8+,,https://www.mountainproject.com/route/105759105/damn-right-ive-got-the-moves,1,"Colorado > Canon City > Shelf Road > Spiney Ridge",2.3,2,Lead,Onsight,Sport,,55,2200
2024-11-17,"Grand Giraffe",5.10a,"Lead p1-2, and p4 offwidth",https://www.mountainproject.com/route/105751315/grand-giraffe,3,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.4,3,Lead,Onsight,Trad,,,2600
2024-10-14,"North west corner",V2,,https://www.mountainproject.com/route/106761035/north-west-corner,2,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > House Boulder",2.4,3,Attempt,,Boulder,,15,20200
2024-10-14,"North west corner",V2,,https://www.mountainproject.com/route/106761035/north-west-corner,1,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > House Boulder",2.4,3,Send,,Boulder,,15,20200
2024-10-14,"East Face Traverse",V5,,https://www.mountainproject.com/route/118070144/east-face-traverse,2,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > House Boulder",2.6,-1,Attempt,,Boulder,,15,20500
2024-10-14,"SouthEast Corner",V2,,https://www.mountainproject.com/route/106568878/southeast-corner,3,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > House Boulder",2.3,2,Attempt,,Boulder,,15,20200
2024-10-14,"SouthEast Corner",V2,,https://www.mountainproject.com/route/106568878/southeast-corner,1,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > House Boulder",2.3,2,Send,,Boulder,,15,20200
2024-10-14,"East Face",V1,,https://www.mountainproject.com/route/106567657/east-face,1,"Utah > Wasatch Range > Southern Wasatch > American Fork Canyon > House Boulder",2.5,2,Flash,,Boulder,,15,20100
2024-10-12,"Quest for Fire",5.10c,,https://www.mountainproject.com/route/105799356/quest-for-fire,1,"Idaho > South Idaho > City of Rocks > Flaming Rock",2.9,-1,TR,,Sport,,80,3200
2024-10-12,Firewater,5.11b,,https://www.mountainproject.com/route/105799349/firewater,1,"Idaho > South Idaho > City of Rocks > Flaming Rock",3.4,3,Lead,Onsight,Sport,,80,4900
2024-10-12,"She's the Bosch",5.11c,,https://www.mountainproject.com/route/105799303/shes-the-bosch,1,"Idaho > South Idaho > City of Rocks > Window Rock > Window Rock - West",3.8,-1,Lead,Fell/Hung,Sport,,120,5200
2024-10-12,Reservations,"5.10a/b PG13",,https://www.mountainproject.com/route/105799344/reservations,1,"Idaho > South Idaho > City of Rocks > Flaming Rock",2.6,3,Lead,Onsight,Trad,,80,2800
2024-10-12,"Tribal Boundaries",5.10b,,https://www.mountainproject.com/route/105741602/tribal-boundaries,1,"Idaho > South Idaho > City of Rocks > Flaming Rock",3.7,3,Lead,Onsight,Sport,,60,2900
2024-10-11,"Delay of Game",5.8,,https://www.mountainproject.com/route/105740945/delay-of-game,1,"Idaho > South Idaho > City of Rocks > Parking Lot Rock > Parking Lot Rock - West",2.8,2,Lead,Onsight,Sport,,160,2100
2024-10-07,"Echame La Culpa",5.11b/c,"TR solo, Hiroki was there climbing while I TR’d it. ",https://www.mountainproject.com/route/119868779/echame-la-culpa,1,"Oregon > Central Oregon > Smith Rock > (z) Lower Gorge > West Side > (2) Wildfire Wall",2.6,-1,TR,,Sport,,70,5100
2024-10-07,Wildfire,5.10b,"TR solo",https://www.mountainproject.com/route/105810334/wildfire,1,"Oregon > Central Oregon > Smith Rock > (z) Lower Gorge > West Side > (2) Wildfire Wall",3.4,-1,TR,,Trad,,80,2900
2024-10-06,"Lamoidian Power Dance",5.11b,,https://www.mountainproject.com/route/107586304/lamoidian-power-dance,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",2.4,2,Lead,Flash,Sport,,,4900
2024-10-06,"Hooker Next Door",5.12a,,https://www.mountainproject.com/route/116122044/hooker-next-door,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",2.5,2,Lead,Onsight,Sport,,35,6600
2024-10-06,"Hooker Next Door",5.12a,,https://www.mountainproject.com/route/116122044/hooker-next-door,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",2.5,2,TR,,Sport,,35,6600
