,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
0,1,1,0,1,1,3.4,1,1,1
1,1,1,0,2,1,2.7,1,1,1
2,1,1,0,3,1,3.8,3,1,1
3,2,1,0,4,1,3.8,1,4,2
4,3,1,0,3,1,2.7,1,4,1
5,1,1,0,3,1,3.5,1,4,1
6,4,2,0,5,1,3.9,1,1,1
7,4,2,0,6,1,3.7,1,1,1
8,2,1,0,3,1,3.2,1,3,1
9,3,1,0,6,1,3.7,1,1,1
10,5,1,0,6,1,3.3,1,4,1
11,4,2,0,7,1,3.9,1,4,1
12,6,1,0,3,1,3.3,1,4,1
13,7,2,0,8,1,2.1,1,4,1
14,8,2,0,1,1,2.4,1,1,1
15,8,2,0,9,1,3.4,1,4,2
16,5,1,0,10,1,3.9,1,4,1
17,9,1,0,1,1,3.6,1,3,1
18,9,1,0,11,1,2.6,1,1,1
19,5,1,0,6,1,3.3,1,1,1
20,9,1,0,12,1,3.8,1,4,1
21,10,2,0,13,1,3.6,1,1,1
22,11,1,0,14,1,3.8,5,4,1
23,10,2,0,15,1,2.2,1,1,1
24,10,2,0,8,1,2.0,1,1,1
25,12,2,0,5,1,2.6,1,1,1
26,12,1,0,15,1,3.3,1,1,1
27,13,2,0,16,1,2.8,1,1,1
28,14,2,0,11,2,2.6,1,1,1
29,14,1,0,16,1,3.7,1,1,1
30,15,1,0,11,1,3.1,1,3,1
31,16,2,0,13,1,3.3,1,1,1
32,17,2,0,8,1,3.7,1,1,1
33,15,2,0,16,1,2.8,1,1,1
34,15,2,0,17,1,3.6,1,1,1
35,15,2,0,15,1,2.8,1,1,1
36,18,1,0,18,1,2.6,1,1,1
37,19,2,0,11,1,1.2,1,1,1
38,20,2,0,19,1,1.2,1,1,1
39,21,2,0,20,1,2.5,1,1,1
40,22,2,0,21,1,2.9,3,3,1
41,23,1,0,22,1,3.2,4,1,1
42,24,2,0,23,1,3.1,1,1,1
43,25,2,0,17,1,2.4,1,1,1
44,26,2,0,9,1,3.6,1,4,1
45,27,2,0,24,1,3.6,1,4,3
46,28,2,0,25,1,3.7,1,3,1
47,29,2,0,26,1,2.7,1,1,1
48,30,2,0,7,1,3.6,1,4,2
49,31,2,0,9,1,2.8,1,4,3
50,32,1,1,15,1,3.8,8,2,1
51,33,2,0,23,1,2.2,1,2,1
52,34,2,0,5,1,2.7,1,3,1
53,35,2,0,13,1,3.0,1,4,3
54,36,2,0,11,1,2.3,1,1,1
55,37,1,0,27,3,3.6,3,1,1
56,38,2,0,20,1,3.5,1,1,1
57,39,1,0,11,1,3.4,4,1,1
58,38,2,0,17,1,3.3,1,1,1
59,40,1,0,20,1,3.8,4,4,2
60,41,1,0,27,1,3.9,2,4,1
61,42,1,0,22,1,2.9,2,1,1
62,43,2,0,13,1,3.1,1,4,1
63,44,2,0,14,1,3.7,1,3,1
64,44,2,0,18,1,2.9,1,3,1
65,45,2,0,5,1,2.2,1,4,2
66,46,2,0,9,1,3.0,1,4,3
67,47,2,0,7,1,3.0,1,4,4
68,42,1,0,15,1,3.5,1,2,1
69,48,2,0,28,1,2.9,1,1,1
70,49,2,0,13,1,3.5,1,1,1
71,48,2,0,29,1,3.4,1,1,1
72,50,2,0,30,1,3.8,1,4,1
73,51,2,0,20,1,3.0,1,1,1
74,52,2,0,31,1,2.5,1,4,2
75,53,2,0,18,1,2.4,1,4,2
76,54,2,0,7,1,3.1,1,4,1
77,55,1,0,27,1,2.7,1,1,1
78,56,2,0,26,1,1.9,1,3,1
79,22,2,0,3,1,3.2,3,1,1
80,57,1,0,2,1,3.0,1,1,1
81,58,2,0,7,1,2.4,1,4,1
82,34,2,0,20,1,2.1,1,1,1
83,59,2,0,5,1,2.8,1,4,1
84,59,2,0,21,1,2.5,1,1,1
85,59,2,0,11,1,1.9,1,1,1
86,60,2,0,23,1,2.5,2,1,1
87,61,2,0,24,1,3.1,1,4,2
88,62,1,0,11,1,3.1,1,3,1
89,63,2,0,9,1,2.9,2,4,1
90,64,1,0,27,1,2.3,1,1,1
91,65,2,0,8,1,2.5,1,1,1
92,66,2,0,8,1,2.4,1,1,1
93,65,2,0,13,1,3.4,1,1,1
94,67,2,0,27,1,2.7,1,1,1
95,68,1,0,9,1,3.5,1,2,1
96,49,2,0,20,1,2.5,1,1,1
97,66,2,0,13,1,3.6,1,1,1
98,69,2,0,17,1,2.5,1,1,1
99,70,2,0,31,1,3.8,1,4,3
100,71,2,0,31,1,3.6,1,4,4
101,72,2,0,9,1,3.0,1,4,2
102,73,2,0,21,1,3.5,1,3,1
103,73,2,0,18,1,2.7,1,1,1
104,74,2,0,14,1,3.6,1,1,1
105,75,2,0,18,1,2.8,1,1,1
106,76,1,1,8,1,3.6,4,4,1
107,77,2,0,14,1,3.1,1,4,2
108,78,2,0,15,1,0.9,1,4,1
109,30,2,0,1,1,1.7,1,1,1
110,79,2,0,5,1,2.9,1,4,2
111,37,1,0,17,1,2.8,1,1,1
112,80,2,0,20,1,3.6,1,4,2
113,81,1,0,32,3,1.9,1,1,1
114,82,1,0,11,1,3.0,3,1,1
115,34,2,0,1,1,2.4,1,1,1
116,83,1,0,15,1,3.4,3,1,1
117,84,2,0,21,1,2.0,1,4,1
118,84,2,0,18,1,1.7,1,1,1
119,21,2,0,13,1,2.6,1,4,1
120,85,2,0,8,1,2.6,1,1,1
121,86,2,0,4,1,2.9,1,4,2
122,87,2,0,5,1,3.3,1,4,3
123,88,2,0,15,1,0.8,1,1,1
124,88,2,0,27,1,1.1,1,1,1
125,88,2,0,18,1,1.9,1,1,1
126,88,2,0,18,1,1.5,1,1,1
127,88,2,0,10,1,1.4,1,1,1
128,88,2,0,23,1,1.9,1,1,1
129,28,2,0,20,1,3.3,1,3,1
130,86,2,0,33,1,2.3,1,1,1
131,89,2,0,14,1,2.1,1,3,1
132,89,2,0,25,1,2.5,1,4,1
133,90,2,0,7,1,3.7,1,4,4
134,91,2,0,5,1,3.6,1,4,2
135,92,2,0,7,1,3.8,1,4,1
136,93,2,0,13,1,3.6,1,1,1
137,94,2,0,5,1,3.8,1,4,2
138,48,2,0,12,1,3.4,1,4,1
139,42,1,0,15,1,3.4,1,1,1
140,29,2,0,20,1,2.6,1,4,2
141,73,2,0,20,1,3.6,1,3,1
142,95,2,0,20,1,2.4,1,4,2
143,53,2,0,18,1,2.4,1,1,1
144,96,2,0,15,1,2.1,1,1,1
145,97,2,0,8,1,3.5,1,1,1
146,98,2,0,8,1,2.5,1,3,1
147,91,2,0,29,1,2.6,1,1,1
148,66,2,0,29,1,2.6,1,1,1
149,38,2,0,5,1,3.4,1,1,1
150,48,2,0,16,1,1.8,1,3,1
151,99,2,0,18,1,2.6,1,4,2
152,99,2,0,5,1,3.1,1,4,2
153,100,2,0,7,1,3.6,1,4,2
154,67,2,0,9,1,3.9,1,4,1
155,65,2,0,9,1,3.2,1,1,1
156,100,2,0,8,1,2.6,1,1,1
157,101,2,0,14,1,2.5,1,4,1
158,102,1,0,28,1,3.2,1,1,1
159,103,2,0,9,1,3.4,1,4,5
160,104,2,0,7,1,3.5,1,4,2
161,105,2,0,13,1,2.9,1,4,3
162,106,2,0,20,1,3.1,1,1,1
163,107,2,0,15,1,2.9,1,1,1
164,108,2,0,15,1,2.3,1,1,1
165,107,2,0,20,1,2.7,1,4,1
166,109,2,0,17,1,2.8,1,3,1
167,110,2,0,5,1,2.9,1,4,2
168,65,2,0,4,1,3.0,1,1,1
169,111,2,0,20,1,2.7,1,3,1
170,112,1,0,5,1,3.9,1,4,1
171,111,2,0,5,1,2.5,1,4,1
172,113,2,0,20,1,2.4,1,3,1
173,114,2,0,23,1,2.6,1,3,1
174,115,2,0,5,1,3.4,1,4,2
175,116,2,0,13,1,2.9,1,4,1
176,117,2,0,9,1,2.9,1,4,3
177,110,2,0,13,1,3.1,1,1,1
178,108,2,0,20,1,3.8,1,4,1
179,118,2,0,20,1,2.7,1,3,1
180,111,2,0,23,1,2.7,1,1,1
181,119,2,0,17,1,2.6,1,1,1
182,120,2,0,9,1,3.8,1,1,1
183,110,2,0,14,1,3.0,1,1,1
184,121,2,0,13,1,3.4,1,4,1
185,122,2,0,17,1,2.9,1,1,1
186,118,2,0,5,1,3.6,1,1,1
187,123,2,0,5,1,2.9,1,4,3
188,124,2,0,23,1,3.4,1,1,1
189,125,2,0,20,1,2.5,1,1,1
190,126,2,0,20,1,3.8,1,4,2
191,127,2,0,15,1,2.6,1,1,1
192,94,2,0,20,1,3.0,1,1,1
193,128,2,0,9,1,2.8,1,4,2
194,129,2,0,17,1,1.9,1,3,1
195,130,1,0,11,1,3.2,4,1,1
196,35,2,0,13,1,2.0,1,2,1
197,131,2,0,15,1,2.9,1,1,1
198,132,2,0,20,1,2.6,1,1,1
199,133,2,0,15,1,3.5,1,1,1
200,134,2,0,16,1,1.8,1,1,1
201,135,2,0,20,1,2.9,1,1,1
202,50,2,0,13,1,2.2,1,4,1
203,120,1,0,7,1,3.6,1,4,1
204,114,2,0,7,1,3.7,1,4,1
205,58,1,0,11,1,2.7,1,3,1
206,58,2,0,9,1,3.5,1,4,2
207,114,2,0,27,1,3.4,1,1,1
208,114,2,0,8,1,2.5,1,1,1
209,67,2,0,15,1,2.0,1,1,1
210,136,2,0,9,1,2.7,1,4,1
211,137,2,0,11,1,2.1,1,1,1
212,105,2,0,26,1,2.7,1,1,1
213,105,2,0,27,1,2.3,1,1,1
214,129,2,0,8,1,2.3,1,1,1
215,138,1,0,15,1,3.0,2,1,1
216,139,1,0,2,1,2.6,1,1,1
217,124,2,0,23,1,3.5,1,3,1
218,112,2,0,31,1,3.1,1,4,1
219,106,2,0,9,1,2.3,1,4,1
220,140,2,0,17,1,2.6,1,1,1
221,141,2,0,7,1,2.5,1,4,1
222,60,2,0,9,1,2.8,1,3,1
223,142,2,0,23,1,3.1,1,3,1
224,121,2,0,4,1,2.7,1,1,1
225,139,1,0,8,1,3.3,1,4,2
