Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
1.0,0.2711736617240513,0.125,0.0,-0.5021631365156053,0.0,1.0,0.0,0.0,1.0,0
0.0,0.4722292033174164,0.125,0.0,0.7864036178345383,1.0,0.0,1.0,0.0,0.0,1
1.0,0.32143754712239253,0.0,0.0,-0.48857985158126105,1.0,0.0,0.0,0.0,1.0,1
0.0,0.43453128926866047,0.125,0.0,0.4204940697654092,1.0,0.0,0.0,0.0,1.0,1
1.0,0.43453128926866047,0.0,0.0,-0.48606442844527137,0.0,1.0,0.0,0.0,1.0,0
1.0,0.3465694898215632,0.0,0.0,-0.4778480503138746,0.0,1.0,0.0,1.0,0.0,0
0.0,0.6732847449107816,0.0,0.0,0.3955913807191113,0.0,1.0,0.0,0.0,1.0,0
1.0,0.01985423473234481,0.375,0.16666666666666666,-0.22395733767514675,0.0,1.0,0.0,0.0,1.0,0
1.0,0.33400351847197784,0.0,0.3333333333333333,-0.42401799520369554,1.0,0.0,0.0,0.0,1.0,1
0.5,0.17064589092736868,0.125,0.0,-0.04293139010125909,1.0,0.0,1.0,0.0,0.0,1
1.0,0.04498617743151546,0.125,0.16666666666666666,-0.3119971474347855,1.0,0.0,0.0,0.0,1.0,1
0.0,0.7235486303091229,0.0,0.0,-0.11378180431879875,1.0,0.0,0.0,0.0,1.0,1
1.0,0.24604171902488062,0.0,0.0,-0.48606442844527137,0.0,1.0,0.0,0.0,1.0,0
1.0,0.4847951746670017,0.125,0.8333333333333334,-0.01869880977838891,0.0,1.0,0.0,0.0,1.0,0
1.0,0.17064589092736868,0.0,0.0,-0.4900045872454856,1.0,0.0,0.0,0.0,1.0,0
0.5,0.6858507162603669,0.0,0.0,-0.32608351699632776,1.0,0.0,0.0,0.0,1.0,1
1.0,0.01985423473234481,0.5,0.16666666666666666,-0.061964087717411374,0.0,1.0,0.0,1.0,0.0,0
0.5,0.38426740387031916,0.0,0.0,-0.38645367226008004,0.0,1.0,0.0,0.0,1.0,1
1.0,0.38426740387031916,0.125,0.0,-0.28583674682049287,1.0,0.0,0.0,0.0,1.0,0
1.0,0.4093993465694898,0.0,0.0,-0.5026662211428032,1.0,0.0,1.0,0.0,0.0,1
0.5,0.43453128926866047,0.0,0.0,-0.12484966611715337,0.0,1.0,0.0,0.0,1.0,0
